Names,Role,Style,Kills,Downs,Avg Kills PG,Avg Downs PG,Downs Per Kill %,Kills Per Down %,Deaths,Avg Deaths PG,KDR,Top 5 Appearance %,Top 10 Appearance %,Top 25 Appearance %,Wins,Top 5,Top 10,Top 25,Top 5 Win %,Top 10 Win %,Big Map Win %,Avg Games til Next Win,Games,Avg Score,Likely to Engage Rating,Wins to Engagement Rating Ratio,Avg Revives PG,Revives,Avg Contracts PG,Contracts Completed
Goat 23,slow,lmg,544,494,2.44,2.2,0.91,1.10,738,3.31,0.74,0.251,0.404,0.839,8,56,90,187,0.14,0.09,0.0359,27.88,223,3066,7.96,1.00,0.30,68,1.44,322
Gorilla 5,slow,lmg,223,175,1.48,1.2,0.78,1.27,487,3.23,0.46,0.172,0.344,0.821,3,26,52,124,0.12,0.06,0.0199,50.33,151,1914,5.86,0.51,0.32,49,0.90,136
I Hit THose,push,smg,3307,3161,3.83,3.7,0.96,1.05,2765,3.20,1.20,0.201,0.392,0.860,29,174,339,743,0.17,0.09,0.0336,29.79,864,5061,10.69,2.71,0.33,284,1.62,1402
Jaguar 9,push,ar,3967,3737,2.20,2.1,0.94,1.06,5724,3.17,0.69,0.164,0.303,0.687,52,296,546,1239,0.18,0.10,0.0288,34.67,1803,3193,7.45,6.98,0.27,490,1.35,2441
Raven 1,push,ar,2786,2610,1.89,1.8,0.94,1.07,4292,2.92,0.65,0.196,0.362,0.763,61,289,533,1122,0.21,0.11,0.0415,24.11,1471,2787,6.59,9.26,0.36,535,1.49,2190
Snake Eyez,slow,sniper,1966,1534,1.65,1.3,0.78,1.28,3454,2.90,0.57,0.117,0.253,0.645,20,139,301,767,0.14,0.07,0.0168,59.50,1190,2813,5.84,3.42,0.27,327,0.98,1170
Mjdauce,push,smg,345,254,1.73,1.3,0.74,1.36,572,2.87,0.60,0.075,0.226,0.533,0,15,45,106,0.00,0.00,0.0000,#DIV/0!,199,1986,5.88,0.00,0.29,57,0.98,196
Natty Dread,slow,ar,311,132,1.14,0.5,0.42,2.36,760,2.77,0.41,0.088,0.186,0.464,2,24,51,127,0.08,0.04,0.0073,137.00,274,1547,4.39,0.46,0.15,40,0.75,205
Big Kahuna,push,ar,4229,3749,2.19,1.9,0.89,1.13,5261,2.73,0.80,0.209,0.387,0.773,85,404,746,1491,0.21,0.11,0.0441,22.69,1929,2895,6.86,12.38,0.44,852,1.32,2555
Malakai,slow,ar,549,443,1.57,1.3,0.81,1.24,940,2.69,0.58,0.100,0.201,0.539,10,35,70,188,0.29,0.14,0.0287,34.90,349,1553,5.54,1.81,0.51,178,0.88,306
Rat 6,push,smg,8993,8284,3.99,3.7,0.92,1.09,5936,2.63,1.51,0.183,0.321,0.656,95,413,725,1480,0.23,0.13,0.0421,23.75,2256,4522,10.29,9.23,0.45,1009,1.30,2925
Bornbeef n rice,slow,smg,736,770,1.85,1.9,1.05,0.96,1039,2.62,0.71,0.128,0.275,0.665,10,51,109,264,0.20,0.09,0.0252,39.70,397,2573,6.41,1.56,0.34,134,1.06,421
Dj,slow,lmg,542,372,2.12,1.5,0.69,1.46,651,2.54,0.83,0.094,0.191,0.445,4,24,49,114,0.17,0.08,0.0156,64.00,256,2147,6.11,0.65,0.41,104,0.71,182
Falcon 8,slow,sniper,4022,3893,1.75,1.7,0.97,1.03,5754,2.50,0.70,0.225,0.425,0.820,81,517,977,1886,0.16,0.08,0.0352,28.41,2301,3611,5.94,13.64,0.47,1081,1.52,3508
Tiger 2,slow,lmg,413,329,1.82,1.4,0.80,1.26,556,2.45,0.74,0.216,0.379,0.762,7,49,86,173,0.14,0.08,0.0308,32.43,227,2330,5.72,1.22,0.12,28,0.86,196
Cobra 7,slow,lmg,2761,2614,1.82,1.7,0.95,1.06,3713,2.44,0.74,0.238,0.428,0.836,67,362,651,1271,0.19,0.10,0.0440,22.70,1521,3317,5.98,11.21,0.63,955,1.42,2160